,precision,recall,f1-score,support
Apple___Apple_scab,0.9642857142857143,0.8852459016393442,0.9230769230769231,61.0
Apple___Black_rot,0.9696969696969697,0.9846153846153847,0.9770992366412213,65.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,26.0
Apple___healthy,0.9935064935064936,0.9216867469879518,0.95625,166.0
Blueberry___healthy,0.9652777777777778,1.0,0.9823321554770318,139.0
Cherry_(including_sour)___Powdery_mildew,1.0,0.9545454545454546,0.9767441860465116,110.0
Cherry_(including_sour)___healthy,0.9883720930232558,0.9770114942528736,0.9826589595375722,87.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.7307692307692307,0.9661016949152542,0.8321167883211679,59.0
Corn_(maize)___Common_rust_,1.0,0.9823008849557522,0.9910714285714286,113.0
Corn_(maize)___Northern_Leaf_Blight,0.9868421052631579,0.78125,0.872093023255814,96.0
Corn_(maize)___healthy,1.0,1.0,1.0,103.0
Grape___Black_rot,0.9932432432432432,0.9671052631578947,0.98,152.0
Grape___Esca_(Black_Measles),0.9785714285714285,1.0,0.9891696750902527,137.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9727272727272728,0.9907407407407407,0.981651376146789,108.0
Grape___healthy,1.0,1.0,1.0,38.0
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,544.0
Peach___Bacterial_spot,1.0,0.9910714285714286,0.9955156950672646,224.0
Peach___healthy,1.0,1.0,1.0,44.0
"Pepper,_bell___Bacterial_spot",0.9831932773109243,0.9915254237288136,0.9873417721518988,118.0
"Pepper,_bell___healthy",0.926829268292683,0.9934640522875817,0.9589905362776026,153.0
Potato___Early_blight,0.9615384615384616,1.0,0.9803921568627451,100.0
Potato___Late_blight,0.9732142857142857,0.872,0.919831223628692,125.0
Potato___healthy,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
Raspberry___healthy,0.9487179487179487,1.0,0.9736842105263158,37.0
Soybean___healthy,0.9959595959595959,0.9939516129032258,0.9949545913218971,496.0
Squash___Powdery_mildew,1.0,1.0,1.0,175.0
Strawberry___Leaf_scorch,1.0,0.981651376146789,0.9907407407407407,109.0
Strawberry___healthy,1.0,0.9782608695652174,0.989010989010989,46.0
Tomato___Bacterial_spot,0.986046511627907,0.9464285714285714,0.9658314350797267,224.0
Tomato___Early_blight,0.9019607843137255,0.9484536082474226,0.9246231155778895,97.0
Tomato___Late_blight,0.875,0.9767441860465116,0.9230769230769231,172.0
Tomato___Leaf_Mold,0.9367088607594937,0.9024390243902439,0.9192546583850931,82.0
Tomato___Septoria_leaf_spot,0.9281437125748503,0.9393939393939394,0.9337349397590361,165.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9757575757575757,0.92,0.9470588235294117,175.0
Tomato___Target_Spot,0.8571428571428571,0.9166666666666666,0.8859060402684564,144.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9847619047619047,1.0,0.9923224568138196,517.0
Tomato___Tomato_mosaic_virus,0.9629629629629629,0.9285714285714286,0.9454545454545454,28.0
Tomato___healthy,0.9940828402366864,0.9824561403508771,0.9882352941176471,171.0
accuracy,0.9712230215827338,0.9712230215827338,0.9712230215827338,0.9712230215827338
macro avg,0.9649643818386773,0.9633425059853342,0.9629883482407564,5421.0
weighted avg,0.9730092784283749,0.9712230215827338,0.9713404429976801,5421.0
